county,state,acres92,acres87
COFFEE COUNTY,AL,175209,179311
COLBERT COUNTY,AL,138135,145104
LAMAR COUNTY,AL,56102,59861
MARENGO COUNTY,AL,199117,220526
MARION COUNTY,AL,89228,105586
TUSCALOOSA COUNTY,AL,96194,120542
COLUMBIA COUNTY,AR,57253,66305
FAULKNER COUNTY,AR,210692,223594
HOT SPRING COUNTY,AR,78498,80267
MONROE COUNTY,AR,219444,234605
POLK COUNTY,AR,122871,112409
PRAIRIE COUNTY,AR,313232,312903
STONE COUNTY,AR,136309,134351
WASHINGTON COUNTY,AR,352322,362670
AMADOR COUNTY,CA,236222,218532
MARIN COUNTY,CA,168879,167590
NAPA COUNTY,CA,235290,258197
PLUMAS COUNTY,CA,119514,88132
SISKIYOU COUNTY,CA,647446,669385
YUBA COUNTY,CA,234781,222748
BENT COUNTY,CO,796892,855503
LINCOLN COUNTY,CO,1660146,1615140
MONTEZUMA COUNTY,CO,834018,843904
SUMMIT COUNTY,CO,38467,34368
TELLER COUNTY,CO,104010,83281
CITRUS COUNTY,FL,70672,74264
COLUMBIA COUNTY,FL,96968,98620
HILLSBOROUGH COUNTY,FL,265443,287951
OKEECHOBEE COUNTY,FL,351885,384169
BARROW COUNTY,GA,35851,40233
CHATHAM COUNTY,GA,8518,10641
COLUMBIA COUNTY,GA,26984,27042
EVANS COUNTY,GA,40608,44076
HABERSHAM COUNTY,GA,36074,39886
JEFF DAVIS COUNTY,GA,72626,75815
LAURENS COUNTY,GA,168051,179300
LINCOLN COUNTY,GA,32657,36282
MARION COUNTY,GA,45448,41517
OCONEE COUNTY,GA,51836,50545
PUTNAM COUNTY,GA,34746,42314
SCREVEN COUNTY,GA,138803,144990
STEWART COUNTY,GA,49043,47913
TALIAFERRO COUNTY,GA,19314,19096
UNION COUNTY,GA,21973,23141
WALKER COUNTY,GA,88829,95243
WARREN COUNTY,GA,47000,52582
WASHINGTON COUNTY,GA,111801,115320
WILCOX COUNTY,GA,115516,114903
BENTON COUNTY,IA,427215,419480
CEDAR COUNTY,IA,338801,345483
FREMONT COUNTY,IA,302352,308796
GRUNDY COUNTY,IA,317205,319657
HARRISON COUNTY,IA,399155,387190
HOWARD COUNTY,IA,260781,269285
POWESHIEK COUNTY,IA,340982,335448
RINGGOLD COUNTY,IA,293266,285258
ADAMS COUNTY,ID,221209,207722
BENEWAH COUNTY,ID,111510,115100
CARIBOU COUNTY,ID,587693,587374
CLEARWATER COUNTY,ID,103246,134891
GEM COUNTY,ID,197176,222950
NEZ PERCE COUNTY,ID,477839,473987
CHRISTIAN COUNTY,IL,390149,425925
CLAY COUNTY,IL,223764,219110
COLES COUNTY,IL,263425,286077
KANKAKEE COUNTY,IL,358920,389185
MCLEAN COUNTY,IL,709106,740964
MARION COUNTY,IL,253916,251754
MERCER COUNTY,IL,312128,325075
OGLE COUNTY,IL,392639,415755
PULASKI COUNTY,IL,82426,82301
SANGAMON COUNTY,IL,446750,493253
SHELBY COUNTY,IL,402212,422071
STEPHENSON COUNTY,IL,314886,339020
WASHINGTON COUNTY,IL,297003,315971
BOONE COUNTY,IN,223429,227524
BROWN COUNTY,IN,22555,25696
ELKHART COUNTY,IN,192311,204547
FOUNTAIN COUNTY,IN,229097,234599
GIBSON COUNTY,IN,241049,248054
JOHNSON COUNTY,IN,139638,139792
LAKE COUNTY,IN,144305,145566
MORGAN COUNTY,IN,139523,145490
VERMILLION COUNTY,IN,119318,127753
VIGO COUNTY,IN,144722,147757
WASHINGTON COUNTY,IN,189136,195118
WAYNE COUNTY,IN,189467,196898
BROWN COUNTY,KS,339138,339853
CLAY COUNTY,KS,380969,392321
FRANKLIN COUNTY,KS,316317,312783
LINCOLN COUNTY,KS,482434,454341
LYON COUNTY,KS,485656,469908
SCOTT COUNTY,KS,484415,470774
STEVENS COUNTY,KS,450829,460974
BOYD COUNTY,KY,27836,32302
BOYLE COUNTY,KY,108291,103436
FULTON COUNTY,KY,96829,93013
GRANT COUNTY,KY,127161,133142
GRAVES COUNTY,KY,210275,220710
LAUREL COUNTY,KY,99527,102078
MCLEAN COUNTY,KY,135179,123685
MASON COUNTY,KY,144254,150073
SIMPSON COUNTY,KY,117768,130295
UNION COUNTY,KY,196701,204933
FRANKLIN PARISH,LA,264321,261541
JEFFERSON PARISH,LA,4127,15748
LAFAYETTE PARISH,LA,87574,89425
OUACHITA PARISH,LA,74678,87400
VERMILION PARISH,LA,316691,333377
WEST CARROLL PARISH,LA,126839,136800
FRANKLIN COUNTY,MA,74484,82864
CECIL COUNTY,MD,80241,86861
LINCOLN COUNTY,ME,24350,29230
BRANCH COUNTY,MI,227665,227375
IOSCO COUNTY,MI,47308,47988
MANISTEE COUNTY,MI,48029,46747
MENOMINEE COUNTY,MI,110014,118338
MONTMORENCY COUNTY,MI,22056,24040
SAGINAW COUNTY,MI,318125,308269
ST JOSEPH COUNTY,MI,234823,213857
SHIAWASSEE COUNTY,MI,236799,240357
CHISAGO COUNTY,MN,138594,152717
CLEARWATER COUNTY,MN,210897,229537
COTTONWOOD COUNTY,MN,374920,377506
DAKOTA COUNTY,MN,221193,219920
GOODHUE COUNTY,MN,379603,389539
KITTSON COUNTY,MN,482991,498259
MARTIN COUNTY,MN,412660,433285
PIPESTONE COUNTY,MN,252658,246804
RED LAKE COUNTY,MN,183208,210348
ROCK COUNTY,MN,270332,260092
CALDWELL COUNTY,MO,232189,233146
CLINTON COUNTY,MO,207611,210703
DAVIESS COUNTY,MO,278841,281633
HICKORY COUNTY,MO,174314,174007
LIVINGSTON COUNTY,MO,270576,271864
PHELPS COUNTY,MO,200766,202453
PIKE COUNTY,MO,323465,336976
REYNOLDS COUNTY,MO,89683,87217
ST LOUIS COUNTY,MO,54082,57088
SHANNON COUNTY,MO,120036,117978
SHELBY COUNTY,MO,273393,294855
COAHOMA COUNTY,MS,294547,260026
JONES COUNTY,MS,96919,104172
NOXUBEE COUNTY,MS,201759,219079
SIMPSON COUNTY,MS,96540,95132
WARREN COUNTY,MS,114083,106927
BEAVERHEAD COUNTY,MT,1342484,1525564
DAWSON COUNTY,MT,1334041,1326655
MCCONE COUNTY,MT,1290134,1277022
POWELL COUNTY,MT,675569,670508
BURKE COUNTY,NC,31671,34833
CUMBERLAND COUNTY,NC,98531,99997
GREENE COUNTY,NC,112291,117207
RANDOLPH COUNTY,NC,144858,154350
ROCKINGHAM COUNTY,NC,130879,137426
RUTHERFORD COUNTY,NC,55309,58090
STANLY COUNTY,NC,89063,96868
SURRY COUNTY,NC,121404,133218
GOLDEN VALLEY COUNTY,ND,505461,532249
GRANT COUNTY,ND,1019300,1020104
MORTON COUNTY,ND,1233663,1227024
SIOUX COUNTY,ND,745815,807715
TOWNER COUNTY,ND,591185,630640
WILLIAMS COUNTY,ND,1182658,1189938
BOX BUTTE COUNTY,NE,649612,638811
BOYD COUNTY,NE,296164,293720
DIXON COUNTY,NE,242898,266349
GA RFIELD COUNTY,NE,338136,325840
KEITH COUNTY,NE,668957,666954
KEYA PAHA COUNTY,NE,446007,474848
MORRILL COUNTY,NE,724458,724691
ROCK COUNTY,NE,657906,582745
YORK COUNTY,NE,345509,349155
BELKNAP COUNTY,NH,20910,21479
GRAFTON COUNTY,NH,75733,80871
ATLANTIC COUNTY,NJ,29606,29423
ESSEX COUNTY,NJ,613,580
HUDSON COUNTY,NJ,0,0
UNION COUNTY,NJ,325,449
CURRY COUNTY,NM,924678,990255
DE BACA COUNTY,NM,1343237,1296777
GRANT COUNTY,NM,1209335,1202779
MORA COUNTY,NM,905235,950958
SAN JUAN COUNTY,NM,1896131,1857223
VALENCIA COUNTY,NM,349231,318046
CHURCHILL COUNTY,NV,268043,366213
LANDER COUNTY,NV,494304,460000
NYE COUNTY,NV,140380,370496
HERKIMER COUNTY,NY,163072,175803
ONONDAGA COUNTY,NY,145329,158276
ROCKLAND COUNTY,NY,831,1107
SARATOGA COUNTY,NY,70404,82878
TOMPKINS COUNTY,NY,91822,110609
WASHINGTON COUNTY,NY,205954,240936
AUGLAIZE COUNTY,OH,205105,216855
BROWN COUNTY,OH,202188,215624
CLERMONT COUNTY,OH,99214,115999
GREENE COUNTY,OH,184280,195070
GUERNSEY COUNTY,OH,127867,137708
LAKE COUNTY,OH,17138,18335
MADISON COUNTY,OH,261320,267249
ROSS COUNTY,OH,253383,252889
STARK COUNTY,OH,136612,153302
WARREN COUNTY,OH,129416,136623
CARTER COUNTY,OK,372901,402260
JACKSON COUNTY,OK,469883,461133
LINCOLN COUNTY,OK,397909,387216
TULSA COUNTY,OK,134096,139900
CROOK COUNTY,OR,894853,860738
CURRY COUNTY,OR,74375,79555
WHEELER COUNTY,OR,728131,766422
BEAVER COUNTY,PA,57960,59063
BUTLER COUNTY,PA,129323,143817
CARBON COUNTY,PA,19026,21720
CRAWFORD COUNTY,PA,211037,236481
DAUPHIN COUNTY,PA,90298,101692
ELK COUNTY,PA,16371,18609
LACKAWANNA COUNTY,PA,36963,42033
MONROE COUNTY,PA,20777,26898
NORTHUMBERLAND COUNTY,PA,109438,125673
BEAUFORT COUNTY,SC,44800,54152
BERKELEY COUNTY,SC,51020,71018
LEXINGTON COUNTY,SC,82634,81684
OCONEE COUNTY,SC,69897,66023
ORANGEBURG COUNTY,SC,262093,292177
SALUDA COUNTY,SC,110679,115950
BUTTE COUNTY,SD,1243168,1104452
CORSON COUNTY,SD,1701991,1698242
CUSTER COUNTY,SD,462238,477361
DOUGLAS COUNTY,SD,252419,254299
HARDING COUNTY,SD,1657305,1567886
KINGSBURY COUNTY,SD,460063,465523
POTTER COUNTY,SD,507101,552844
WALWORTH COUNTY,SD,448834,410375
YANKTON COUNTY,SD,271200,269176
DAVIDSON COUNTY,TN,47319,57917
GRAINGER COUNTY,TN,104457,108212
JACKSON COUNTY,TN,87298,98512
JOHNSON COUNTY,TN,54518,62446
LAWRENCE COUNTY,TN,196733,201440
LINCOLN COUNTY,TN,275219,279482
SEVIER COUNTY,TN,74107,78192
SMITH COUNTY,TN,150309,145507
UNION COUNTY,TN,49452,53305
ANGELINA COUNTY,TX,103063,103622
BAILEY COUNTY,TX,432939,432697
BURNET COUNTY,TX,548351,509782
CLAY COUNTY,TX,670459,569541
ERATH COUNTY,TX,581776,562030
FANNIN COUNTY,TX,412632,442247
FRIO COUNTY,TX,749504,638480
GRAY COUNTY,TX,576013,504506
HALL COUNTY,TX,443027,393949
HAMILTON COUNTY,TX,461249,415885
HAYS COUNTY,TX,463450,297443
HUDSPETH COUNTY,TX,2234262,2266986
JIM WELLS COUNTY,TX,517671,502206
KERR COUNTY,TX,531206,539371
LAMAR COUNTY,TX,424701,406639
LEE COUNTY,TX,318658,324657
MADISON COUNTY,TX,243989,222574
NUECES COUNTY,TX,443224,465658
PALO PINTO COUNTY,TX,517272,510757
PRESIDIO COUNTY,TX,1695484,1890612
RED RIVER COUNTY,TX,425281,388412
RUNNELS COUNTY,TX,572607,576671
SAN AUGUSTINE COUNTY,TX,54580,54825
SWISHER COUNTY,TX,505140,530622
WILLACY COUNTY,TX,260892,227319
BLAND COUNTY,VA,81768,80349
CAROLINE COUNTY,VA,51604,59527
DINWIDDIE COUNTY,VA,85954,85205
GOOCHLAND COUNTY,VA,51442,57858
HIGHLAND COUNTY,VA,96910,94880
ISLE OF WIGHT COUNTY,VA,86247,83901
NORTHAMPTON COUNTY,VA,52469,50530
NORTHUMBERLAND COUNTY,VA,41290,48203
NOTTOWAY COUNTY,VA,63991,65154
PITTSYLVANIA COUNTY,VA,297064,300699
PRINCE GEORGE COUNTY,VA,48889,41268
RUSSELL COUNTY,VA,160973,167959
SMYTH COUNTY,VA,119973,122808
TAZEWELL COUNTY,VA,138531,137093
WESTMORELAND COUNTY,VA,56289,70165
SUFFOLK CITY (IC),VA,83047,87761
RUTLAND COUNTY,VT,132674,140177
CHELAN COUNTY,WA,112085,115566
FERRY COUNTY,WA,748088,760670
GA RFIELD COUNTY,WA,325472,338197
PEND OREILLE COUNTY,WA,55360,62578
PIERCE COUNTY,WA,58750,58754
WHITMAN COUNTY,WA,1404289,1405412
KEWAUNEE COUNTY,WI,170228,183626
LA CROSSE COUNTY,WI,182339,193262
OZAUKEE COUNTY,WI,78772,85201
ROCK COUNTY,WI,343115,357751
KANAWHA COUNTY,WV,19956,21369
PLEASANTS COUNTY,WV,15650,15716
PUTNAM COUNTY,WV,55827,55635
