ID,circ,inq,str
3,242080,37752,L
18,146862,9599,L
20,173288,4377,L
22,561367,31490,L
30,131300,6878,L
41,106208,9107,L
50,198416,16217,L
52,195842,29300,L
54,1185983,218610,L
63,108447,4415,L
66,416226,56070,L
71,241767,51315,L
72,107934,0,L
74,121190,7765,L
76,1705078,682201,L
79,222827,7643,L
85,688324,184291,L
86,164611,13373,L
95,387759,35126,L
97,593863,97795,L
99,143199,1476,L
107,110864,6121,L
109,232587,69311,L
120,165933,13123,L
122,121861,7852,L
123,344474,63649,L
124,232575,13227,L
131,101450,7300,L
133,168659,6147,L
135,4081187,2710130,L
141,476485,58225,L
148,140258,5803,L
149,147466,3518,L
151,442884,99539,L
161,158523,21301,L
162,119034,20988,L
167,130075,1621,L
172,169762,31549,L
173,3136876,272711,L
179,528089,32572,L
183,674163,40994,L
196,106554,18049,L
197,135179,7396,L
200,130774,0,L
207,242996,43378,L
213,646895,114406,L
214,816240,257054,L
238,102872,6126,L
239,111885,12200,L
242,105777,4836,L
244,265253,19205,L
245,302935,46815,L
255,345537,61538,L
259,140546,7746,L
260,515076,170000,L
262,6384212,3278281,L
269,733851,32544,L
270,108798,7580,L
271,102544,3034,L
281,853171,288737,L
285,170827,0,L
286,505161,28219,L
288,110453,0,L
297,352199,38287,L
299,130610,15734,L
300,169735,3439,L
301,171390,26500,L
305,826417,44256,L
306,827833,277121,L
311,2271227,262141,L
314,160486,17200,L
322,215898,10125,L
333,364311,30803,L
346,204014,12000,L
354,203392,12220,L
359,330055,21124,L
360,104251,1960,L
363,188885,12500,L
365,114405,2986,L
367,375553,22467,L
368,105855,5600,L
4,37536,1621,M
5,28439,730,M
6,42191,0,M
8,31821,500,M
9,63955,20000,M
11,20146,3000,M
14,37311,3657,M
16,18187,0,M
17,71562,125,M
19,35506,6000,M
21,62954,2168,M
23,20247,0,M
25,35409,2593,M
27,81348,4050,M
33,16988,2140,M
35,10550,118,M
37,38456,3100,M
38,89386,3400,M
39,21031,260,M
40,35562,1560,M
42,46240,1405,M
46,36038,300,M
47,31782,4000,M
48,14134,1500,M
49,22167,518,M
53,51409,4820,M
55,12660,0,M
56,61791,2100,M
57,30946,7234,M
58,16724,677,M
59,54501,10840,M
60,55729,3820,M
61,61994,6800,M
62,24438,3856,M
64,25420,4882,M
70,23568,1169,M
73,42909,0,M
75,62210,7100,M
77,67107,10400,M
78,28487,2500,M
83,47506,5000,M
84,80159,10000,M
87,29850,900,M
89,33674,840,M
90,15927,450,M
91,16052,61,M
92,31739,1298,M
93,17675,1024,M
96,28332,782,M
100,18911,900,M
103,40500,10500,M
104,10732,2202,M
105,24787,634,M
108,22339,4473,M
112,10319,644,M
113,34045,931,M
114,10268,17,M
115,36216,6500,M
116,19253,596,M
119,19271,620,M
125,17439,476,M
126,13697,175,M
127,17679,597,M
129,42093,3234,M
134,76965,2253,M
136,24021,600,M
137,10212,262,M
138,14724,100,M
139,26500,360,M
140,22079,365,M
143,23313,700,M
144,20466,150,M
146,11593,820,M
150,47215,3500,M
153,51685,1580,M
154,84178,4674,M
155,32646,800,M
156,13337,313,M
157,37794,892,M
158,15940,2170,M
159,11930,25,M
160,34735,2674,M
164,91145,0,M
165,15010,675,M
166,57873,13272,M
168,18662,800,M
169,18523,4651,M
170,23406,878,M
171,39193,1530,M
174,54661,2320,M
175,38294,1298,M
177,49825,747,M
178,61230,2611,M
180,23154,715,M
181,35261,1500,M
182,10828,230,M
184,17873,217,M
186,64500,6429,M
187,46388,8434,M
188,17352,820,M
189,62104,4069,M
190,23629,180,M
191,18632,52,M
192,19992,720,M
193,60509,4276,M
199,28220,2330,M
204,49481,2500,M
205,93815,5051,M
209,12898,153,M
210,20372,2400,M
211,48092,450,M
212,11604,35,M
215,25725,1608,M
216,53167,4155,M
218,94038,2372,M
219,67154,1025,M
220,82942,6250,M
221,22670,1600,M
222,22227,600,M
224,10235,100,M
225,13372,850,M
226,95365,3325,M
227,19837,74,M
228,32721,2050,M
230,25929,3000,M
231,36537,2392,M
233,23975,1205,M
234,27099,523,M
235,21872,1238,M
236,14413,620,M
243,53617,3000,M
246,77556,4962,M
247,11999,0,M
249,22221,1585,M
250,27837,736,M
251,19377,2489,M
252,19539,0,M
253,96601,1350,M
256,21842,0,M
258,20091,0,M
261,38695,4648,M
263,19101,540,M
264,86827,0,M
265,10200,150,M
267,31234,480,M
268,73259,7509,M
272,30401,1186,M
273,61794,11560,M
274,62472,4032,M
276,12430,900,M
277,20954,1060,M
278,16244,2763,M
279,54182,2301,M
280,53162,320,M
283,42458,2000,M
284,16403,920,M
287,12445,3337,M
289,26966,1500,M
291,18623,2685,M
293,74655,17364,M
294,13367,105,M
295,37363,169,M
296,23118,68,M
298,67731,6570,M
302,27771,2000,M
303,76270,2400,M
307,22997,1096,M
308,31147,0,M
309,40188,2000,M
310,20218,1683,M
312,16226,225,M
313,11970,762,M
315,85999,2258,M
316,37975,400,M
317,37651,208,M
319,27008,2900,M
320,70842,5475,M
321,83166,5616,M
323,97219,0,M
324,26384,1142,M
326,21281,650,M
327,13357,500,M
330,14736,0,M
332,29475,156,M
335,18347,1327,M
336,12475,0,M
337,37818,2500,M
338,19537,3779,M
339,56359,2059,M
342,24705,2779,M
343,16572,1500,M
344,45817,2307,M
347,39454,5500,M
348,17953,508,M
350,65327,1500,M
352,33606,960,M
355,23334,1413,M
356,17679,597,M
357,42245,3393,M
358,13976,205,M
361,16455,3306,M
364,41682,3838,M
366,30684,12845,M
1,3405,0,S
2,3624,167,S
7,8001,0,S
10,3399,0,S
12,8487,300,S
13,6601,400,S
15,0,0,S
24,620,20,S
26,6670,20,S
28,7883,375,S
29,8135,22,S
31,2778,59,S
32,4730,30,S
34,1516,20,S
36,3280,35,S
43,4408,40,S
44,3874,150,S
45,2662,10,S
51,6147,175,S
65,995,0,S
67,4080,600,S
68,6547,0,S
69,8014,512,S
80,0,0,S
81,8447,2080,S
82,6245,50,S
88,7544,96,S
94,2140,15,S
98,5413,0,S
101,854,0,S
102,6152,750,S
106,9571,600,S
110,0,0,S
111,0,0,S
117,5488,0,S
118,3555,89,S
121,1552,62,S
128,3157,295,S
130,5121,0,S
132,3965,0,S
142,8703,378,S
145,8382,500,S
147,3442,8,S
152,2851,35,S
163,0,0,S
176,6220,390,S
185,5585,100,S
194,0,0,S
195,9180,800,S
198,9832,593,S
201,1120,35,S
202,6103,700,S
203,6123,45,S
206,2380,650,S
208,0,0,S
217,4867,105,S
223,729,4,S
229,5176,0,S
232,2610,8,S
237,3565,0,S
240,6093,0,S
241,3595,15,S
248,8342,320,S
254,8369,0,S
257,7770,833,S
266,8683,780,S
275,1619,0,S
282,2261,0,S
290,2564,304,S
292,1326,0,S
304,0,1200,S
318,0,47,S
325,0,0,S
328,8170,64,S
329,8823,145,S
331,7762,125,S
334,4786,215,S
340,7497,30,S
341,2811,10,S
345,0,150,S
349,5331,0,S
351,6522,39,S
353,9175,2201,S
362,6092,278,S
369,1100,75,S
